run_dir,repo,run_id,file_count,text_file_count,total_size,avg_file_size,kw_total,kw_count_137,kw_count_killed,kw_count_oom,kw_count_out of memory,kw_count_memory limit,kw_count_no memory
facebook_react_19936091212,facebook_react,19936091212,2,2,41506,20753.0,2,2,0,0,0,0,0
facebook_react_19937024022,facebook_react,19937024022,2,2,44446,22223.0,0,0,0,0,0,0,0
facebook_react_19937288309,facebook_react,19937288309,2,2,45485,22742.5,5,5,0,0,0,0,0
facebook_react_19939295404,facebook_react,19939295404,2,2,36661,18330.5,2,2,0,0,0,0,0
facebook_react_19946949266,facebook_react,19946949266,22,22,876851,39856.86363636364,31,31,0,0,0,0,0
facebook_react_19948058375,facebook_react,19948058375,8,8,162993,20374.125,17,17,0,0,0,0,0
facebook_react_19948058388,facebook_react,19948058388,334,334,5259282,15746.353293413174,417,405,0,12,0,0,0
facebook_react_19948439734,facebook_react,19948439734,334,334,5080219,15210.236526946108,336,328,0,8,0,0,0
facebook_react_19948439785,facebook_react,19948439785,8,8,158613,19826.625,7,7,0,0,0,0,0
facebook_react_19948606979,facebook_react,19948606979,334,334,5068813,15176.086826347306,322,314,0,8,0,0,0
facebook_react_19948606989,facebook_react,19948606989,8,8,159596,19949.5,5,5,0,0,0,0,0
facebook_react_19949043519,facebook_react,19949043519,334,334,5263338,15758.497005988023,373,361,0,12,0,0,0
facebook_react_19949822727,facebook_react,19949822727,336,336,5273563,15695.127976190477,376,364,0,12,0,0,0
facebook_react_19949900871,facebook_react,19949900871,336,336,5273392,15694.619047619048,390,378,0,12,0,0,0
facebook_react_19950415473,facebook_react,19950415473,336,336,5254315,15637.842261904761,385,373,0,12,0,0,0
facebook_react_19950827463,facebook_react,19950827463,336,336,5638351,16780.806547619046,352,352,0,0,0,0,0
facebook_react_19962837634,facebook_react,19962837634,458,458,14683932,32060.98689956332,1226,1226,0,0,0,0,0
facebook_react_19962837662,facebook_react,19962837662,8,8,146099,18262.375,5,5,0,0,0,0,0
